,text,category
0,Давайте двойку.,предложение
1,Ставлю.,предложение
2,Нам надо пять поставить.,предложение
3,"Ребят, 2 надо ставить.",предложение
4,"2 надо ставить, у нас ресурсов нет.",предложение
5,"Да, ну я предлагаю где-то 3-4 поставить, чуть больше, чем в прошлый раз.",предложение
6,А мы можем обсудить. Мы можем обсудить их стратегии.,предложение
7,"Давайте, давайте.",предложение
8,Сейчас максимум надо ставить.,предложение
9,Я бы вообще начал с единички.,предложение
10,"Да, чтобы мало проигрывать.",предложение
11,Я отправлю.,предложение
12,Можно поставить тройку.,предложение
13,Я пятёрку поставлю.,предложение
14,"Надо ставить, у нас ресурсов нет.",предложение
15,"Надо ставить маленькую, двойку",предложение
16,Надо принять решение,предложение
17,Окей. И опять идём на второй круг.,предложение
18,"Ну 2 да, максимум 3, больше бессмысленно.",предложение
19,"Давай, давай поставим десять. Я не знаю, может, они затупят, пятнадцать.",предложение
20,"Ну давайте, давайте.",другое
21,"Да, чтобы мало проигрывать.",другое
22,Ага.,другое
23,"Да, да.",другое
24,"Ну, окей, окей.",другое
25,"Угу. Окей, давайте.",другое
26,"Бессмысленно, хотя бы, ну, два раза проиграть можно.",другое
27,"Косяк, короче",другое
28,"Ну, это много.",другое
29,"Вера, таймер считается, как мы вошли в комнату?",другое
30,"Да, получается, у нас две минуты прошло, осталось минуты.",другое
31,"Вообще, это управленцы, да. Да, игроки-управленцы.",другое
32,"Если они поставят единичку, мы хотя бы шкод выиграем, сменим айпель или ресурсов.",другое
33,"Да, и быстренько, у нас 10 секунд осталось.",другое
34,"Ну, пока не ищем. Нет, приятно, приятно.",другое
35,Только у меня? Зависает.,другое
36,Я всех слышу.,другое
37,"Давайте, давайте, давайте. Меня слышно?",другое
38,"Скажите еще. У меня что-то прервалась. Скажите, сколько вы решили? Двойку вы решили?",другое
39,"Смотрите, для будущего ноль ставить нельзя. Я не помню, сказал ли Михаил или нет.",другое
40,"Да, мы помним.",другое
41,"И если ставите одинаковое количество с соперником, то все спускаются на старт.",другое
42,"Да, запоминаем. Значит, ноль нельзя. Пятьдесят тоже, по-моему, нельзя, да?",другое
43,"Я прослушал, что нельзя ставить одинаковые ставки.",другое
44,"Нет, их можно вставить. Просто все тогда спускаются на старт.",другое
45,"Так, мы здесь? Ребят, ну, то есть мы сейчас можем все что угодно сделать.",другое
46,Это не последний ход.,другое
47,"Ну правильно, но если мы потратим все свои шаги не дойдя до верха, то мы проиграем.",другое
48,Сейчас в середине.,другое
49,А как мы можем еще делать потом ходы?,другое
50,Почему? Так у них же осталась одна монета. Они больше не смогут другие ходы делать.,другое
51,Я пятерку поставил.,другое
52,Дальше нас ждет еще финал. Будем играть против первой или четвертой команды. За первое или второе место.,другое
53,"Там имеется в виду, что вторая команда уже вылетит сейчас. У нее не останется ни одной монеты.",другое
54,Мы еще не выиграли.,другое
55,Сколько? Сколько? Пять?,другое
56,Мы тем же составом играем. Я правильно понимаю?,другое
57,"Да. Ну мы пока просто в зал пришли. Это просто. Технически. Нам нужно, чтобы доиграла первая команда. Потом будем играть в финале.",другое
58,"Пока не понятно, какая из команд победит. Они по-разному играют.",другое
59,Да. По-разному.,другое
60,Ну у вас интересное взаимодействие в команде. Споры есть.,другое
61,"Этой команде, у которой 17 баллов или сколько осталось, надо 6 ставить. Столько осталось у тех. И все. Фактически они выигрывают после этого.",другое
